Jordan 9 Retro Cool Grey (2012),309,53.8%,$310,302370-015,$160,2012-12-15,Medium Grey/White-Cool Grey,$204 - $288
Jordan 8 Retro Cool Grey,158,-14.7%,$172,305381-014,$190,2017-08-26,Cool Grey/Wolf Grey-Cool Grey,$151 - $173
Jordan 7 Retro Olympic (2004),35,76.0%,$249,304775-171,$125,2004-08-21,White/Metallic Gold-Navy-True Red,$181 - $259
Jordan Spiz'ike Fresh Since '85,9,9.1%,$198,315371-062,$175,2010-02-20,Black/Varsity Red-Cement Grey-Military Blue,$144 - $238
Jordan 2 Retro Decon Thunder Blue,26,-37.5%,$94,897521-402,$160,2017-07-15,Thunder Blue/Thunder Blue-White,$89 - $111
Jordan 1 Retro Chicago 2015 (GS),97,83.3%,$202,575441-101,$120,2015-05-30,White/Varsity Red-Black,$212 - $228
Jordan 7 Retro French Blue (2002),5,60.8%,$179,304775-141,$125,2002-12-14,White/French Blue-Flint Grey,$177 - $225
Jordan 8 Retro Bugs Bunny (2013),84,37.5%,$185,305381-103,$160,2013-04-20,White/Hyper Blue-True Red-Flint Grey,$196 - $244
Jordan 11 Retro Low Citrus 2015 (GS),44,15.8%,$187,580521-139,$120,2015-06-20,White/White-Citrus,$107 - $171
Jordan 5 Retro Black Metallic (2011),109,50.0%,$303,136027-010,$150,2011-08-20,Black/Varsity Red-Metallic Silver,$167 - $283
Jordan XXX1 Shattered Backboard,27,-54.1%,$110,845037-021,$185,2016-10-08,Black/Black-Starfish,$74 - $96
Jordan 1 Retro Black Metallic Gold (2003),33,350.0%,$475,136085-070,$100,2003-12-23,Black/Metallic Gold,$400 - $500
Jordan Ultimate Gift of Flight (11/29),115,-15.0%,$595,717602-900,$500,2014-12-23,Multi-Color/Multi-Color,$354 - $496
Jordan Countdown Pack 9/14,25,61.3%,$436,318541-992,$310,2008-03-15,Multi-Color/Multi-Color,$421 - $579
Jordan 10 Retro Drake OVO White,833,62.2%,$471,819955-100,$225,2015-09-12,Summit White/Metallic Gold-White,$311 - $419
Jordan 6 Retro Brazil World Cup,81,--,$360,688446-020,$300,2014-06-21,Black/Brazil Yellow-Green Mint,$250 - $350
Jordan 11 Retro Low IE Argon Blue,6,73.9%,$158,306008-471,$115,2007-08-04,Argon Blue/Zest_White,$169 - $231
Jordan 20 OG Midwest Red,8,-14.3%,$225,310455-102,$175,2005-07-01,Varsity Red/White-Black,$79 - $221
Jordan 15 Retro Obsidian,157,-48.4%,$180,881429-400,$190,2017-03-04,Obsidian/White-Metallic Silver,$71 - $125
Jordan 4 Retro Mist Blue,28,204.0%,$414,314254-041,$125,2006-06-24,Mist Blue/University Blue-Gold Leaf-White,$316 - $444
Jordan Spiz'ike Space Blue,5,--,$118,315371-407,Space,Blue/Wolf,Grey/Tropical,Teal/Fusion,Pink,--,$59 - $119
Jordan 1 Retro Beginning Moments Pack (BMP) Old Love,33,75.0%,$237,136085-102,$100,2007-04-22,White/Black-Varsity Red,$119 - $231
Jordan Future Easter Multi-Color,30,8.1%,$216,652141-006,$185,2014-04-19,Black/Cool Grey-PR Platinum-Hyper Crimson,$158 - $242
Jordan 8 Retro Black Cement,29,--,$181,305381-022,$190,2017-09-16,Black/Gym Red-Black-Wolf Grey,$180 - $200
Jordan 6 Retro Alternate Hare (GS),8,-53.6%,$110,384665-113,$140,2017-03-11,White/Gym Red-Pure Platinum,$30 - $100
